turn,pct_explored,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score
0,,1.0309278350515463,0.8403361344537815,1.0,1.0
1,,3.0927835051546393,1.680672268907563,1.0,0.5
2,,5.154639175257731,3.361344537815126,0.6666666666666666,0.5
3,,7.216494845360824,5.042016806722689,0.5,0.4
4,,9.278350515463918,6.722689075630252,0.4,0.3333333333333333
5,,11.34020618556701,8.403361344537815,0.3333333333333333,0.2857142857142857
6,,13.402061855670103,10.084033613445378,0.2857142857142857,0.25
7,,14.432989690721648,10.92436974789916,0.14285714285714285,0.1111111111111111
8,,15.463917525773196,11.76470588235294,0.125,0.1
9,,16.49484536082474,13.445378151260504,0.125,0.2
10,,16.49484536082474,14.285714285714285,0.0,0.1
11,,16.49484536082474,14.285714285714285,0.0,0.0
12,,17.525773195876287,15.126050420168067,0.1111111111111111,0.1111111111111111
13,,17.525773195876287,15.126050420168067,0.0,0.0
14,,17.525773195876287,15.126050420168067,0.0,0.0
15,,17.525773195876287,15.126050420168067,0.0,0.0
16,,17.525773195876287,15.126050420168067,0.0,0.0
17,,17.525773195876287,15.126050420168067,0.0,0.0
18,,17.525773195876287,15.126050420168067,0.0,0.0
19,,17.525773195876287,15.126050420168067,0.0,0.0
20,,17.525773195876287,15.126050420168067,0.0,0.0
21,,17.525773195876287,15.126050420168067,0.0,0.0
22,,17.525773195876287,15.126050420168067,0.0,0.0
23,,18.556701030927837,15.966386554621847,0.125,0.1
24,,19.587628865979383,16.80672268907563,0.125,0.1111111111111111
25,,20.618556701030926,17.647058823529413,0.1111111111111111,0.1111111111111111
26,,21.649484536082475,18.487394957983195,0.1111111111111111,0.1
27,,22.68041237113402,19.327731092436977,0.125,0.1
28,,24.742268041237114,21.008403361344538,0.2222222222222222,0.2
29,,24.742268041237114,21.84873949579832,0.0,0.1111111111111111
30,,26.804123711340207,23.52941176470588,0.2222222222222222,0.2222222222222222
31,,28.865979381443296,25.210084033613445,0.2,0.2222222222222222
32,,31.958762886597935,27.73109243697479,0.3,0.3333333333333333
33,,35.051546391752574,30.252100840336134,0.3333333333333333,0.3
34,,37.11340206185567,31.932773109243694,0.2222222222222222,0.2222222222222222
35,,40.20618556701031,35.294117647058826,0.375,0.4
36,,42.2680412371134,37.81512605042017,0.25,0.3
37,,45.36082474226804,40.33613445378151,0.3333333333333333,0.3
38,,47.42268041237113,42.857142857142854,0.25,0.3
39,,49.48453608247423,44.537815126050425,0.2222222222222222,0.2
40,,50.51546391752577,46.21848739495798,0.1111111111111111,0.2222222222222222
41,,51.546391752577314,47.89915966386555,0.1,0.2
42,,51.546391752577314,48.739495798319325,0.0,0.1
43,,52.57731958762887,49.57983193277311,0.1,0.1111111111111111
44,,55.670103092783506,52.10084033613446,0.3333333333333333,0.3
45,,58.76288659793815,54.621848739495796,0.3,0.3
46,,61.855670103092784,57.14285714285714,0.3,0.3
47,,62.88659793814433,58.82352941176471,0.1,0.2
48,,62.88659793814433,58.82352941176471,0.0,0.0
49,,63.91752577319587,59.66386554621849,0.125,0.1111111111111111
50,,65.97938144329896,62.18487394957983,0.2,0.3
51,,68.04123711340206,63.86554621848739,0.2,0.2
52,,69.0721649484536,66.38655462184873,0.1,0.3
53,,71.1340206185567,68.0672268907563,0.2,0.2
54,,72.16494845360825,69.74789915966386,0.1,0.2
55,,75.25773195876289,72.26890756302521,0.3,0.3
56,,76.28865979381443,73.94957983193278,0.1,0.2
57,,76.28865979381443,74.78991596638656,0.0,0.1
58,,76.28865979381443,74.78991596638656,0.0,0.0
59,,76.28865979381443,74.78991596638656,0.0,0.0
60,,76.28865979381443,75.63025210084034,0.0,0.1
61,,76.28865979381443,75.63025210084034,0.0,0.0
62,,76.28865979381443,75.63025210084034,0.0,0.0
63,,77.31958762886599,77.31092436974791,0.1,0.2
64,,77.31958762886599,77.31092436974791,0.0,0.0
65,,77.31958762886599,77.31092436974791,0.0,0.0
66,,77.31958762886599,78.15126050420169,0.0,0.1111111111111111
67,,77.31958762886599,78.15126050420169,0.0,0.0
68,,77.31958762886599,78.99159663865547,0.0,0.1
69,,78.35051546391753,79.83193277310924,0.1,0.1111111111111111
70,,79.38144329896907,80.67226890756302,0.1111111111111111,0.1
71,,80.41237113402062,81.5126050420168,0.1,0.1
72,,81.44329896907216,82.35294117647058,0.1111111111111111,0.1111111111111111
73,,82.4742268041237,83.19327731092437,0.1111111111111111,0.1
74,,83.50515463917526,84.03361344537815,0.1,0.1
75,,84.5360824742268,84.87394957983193,0.1111111111111111,0.1
76,,85.56701030927834,85.71428571428571,0.1111111111111111,0.1
77,,85.56701030927834,85.71428571428571,0.0,0.0
78,,85.56701030927834,85.71428571428571,0.0,0.0
79,,85.56701030927834,85.71428571428571,0.0,0.0
80,,87.62886597938144,87.39495798319328,0.2,0.2
81,,88.65979381443299,88.23529411764706,0.1,0.125
82,,88.65979381443299,88.23529411764706,0.0,0.0
83,,89.69072164948454,89.07563025210085,0.1,0.1
84,,90.72164948453609,89.91596638655463,0.1,0.1
85,,91.75257731958763,90.75630252100841,0.1,0.1111111111111111
86,,92.78350515463917,91.59663865546219,0.1,0.1111111111111111
87,,92.78350515463917,91.59663865546219,0.0,0.0
88,,93.81443298969072,92.43697478991596,0.1,0.1
89,,94.84536082474226,93.27731092436974,0.1,0.1
90,,95.87628865979381,94.11764705882352,0.1,0.1
91,,96.90721649484536,94.9579831932773,0.1,0.1111111111111111
92,,97.9381443298969,95.7983193277311,0.1,0.1
93,,97.9381443298969,95.7983193277311,0.0,0.0
94,,98.96907216494846,96.63865546218487,0.1111111111111111,0.1
95,,100.0,97.47899159663865,0.1,0.1
96,,100.0,97.47899159663865,0.0,0.0
97,,100.0,97.47899159663865,0.0,0.0
98,,100.0,98.31932773109243,0.0,0.1
99,,100.0,98.31932773109243,0.0,0.0
100,,100.0,98.31932773109243,0.0,0.0
101,,100.0,99.15966386554622,0.0,0.1
102,,100.0,99.15966386554622,0.0,0.0
103,,100.0,99.15966386554622,0.0,0.0
104,,100.0,99.15966386554622,0.0,0.0
105,,100.0,99.15966386554622,0.0,0.0
106,,100.0,99.15966386554622,0.0,0.0
107,,100.0,99.15966386554622,0.0,0.0
108,,100.0,99.15966386554622,0.0,0.0
109,,100.0,99.15966386554622,0.0,0.0
110,,100.0,99.15966386554622,0.0,0.0
111,,100.0,99.15966386554622,0.0,0.0
112,,100.0,99.15966386554622,0.0,0.0
113,,100.0,100.0,0.0,0.1
114,,100.0,100.0,0.0,0.0
115,,100.0,100.0,0.0,0.0
116,,100.0,100.0,0.0,0.0
117,,100.0,100.0,0.0,0.0
118,,100.0,100.0,0.0,0.0
119,,100.0,100.0,0.0,0.0
120,,100.0,100.0,0.0,0.0
121,,100.0,100.0,0.0,0.0
122,,100.0,100.0,0.0,0.0
123,,100.0,100.0,0.0,0.0
124,,100.0,100.0,0.0,0.0
125,,100.0,100.0,0.0,0.0
126,,100.0,100.0,0.0,0.0
127,,100.0,100.0,0.0,0.0
128,,100.0,100.0,0.0,0.0
129,,100.0,100.0,0.0,0.0
130,,100.0,100.0,0.0,0.0
131,,100.0,100.0,0.0,0.0
132,,100.0,100.0,0.0,0.0
133,,100.0,100.0,0.0,0.0
134,,100.0,100.0,0.0,0.0
135,,100.0,100.0,0.0,0.0
136,,100.0,100.0,0.0,0.0
137,,100.0,100.0,0.0,0.0
138,,100.0,100.0,0.0,0.0
139,,100.0,100.0,0.0,0.0
140,,100.0,100.0,0.0,0.0
141,,100.0,100.0,0.0,0.0
142,,100.0,100.0,0.0,0.0
143,,100.0,100.0,0.0,0.0
144,,100.0,100.0,0.0,0.0
145,,100.0,100.0,0.0,0.0
146,,100.0,100.0,0.0,0.0
147,,100.0,100.0,0.0,0.0
148,,100.0,100.0,0.0,0.0
149,,100.0,100.0,0.0,0.0
